brand,name,cpu_brand,cpu,cpu_cores,cpu_threads,memory,storage,gpu_brand,gpu,price,rating,review_count,source,crawl_date
tecno,Tecno Megabook T1 Laptop (11th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),intel,core i3,2,4,8,512,intel,integrated,289.03614457831327,63,0,sohaibdevv,2026-09-05
tecno,Tecno Megabook T1 Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home),intel,core i7,4,8,16,1024,intel,integrated,433.6144578313253,67,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fb0157AX Gaming Laptop (AMD Ryzen 5 5600H/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),amd,ryzen 5,6,12,8,512,amd,dedicated,615.6626506024096,73,0,sohaibdevv,2026-09-05
acer,Acer Extensa EX214-53 Laptop (12th Gen Core i5/ 8GB/ 512GB SSD/ Win11 Home),intel,core i5,12,16,8,512,intel,integrated,481.8072289156627,62,0,sohaibdevv,2026-09-05
lenovo,Lenovo V15 82KDA01BIH Laptop (AMD Ryzen 3 5300U/ 8GB/ 512GB SSD/ Win11 Home),amd,ryzen 3,4,8,8,512,amd,integrated,344.33734939759034,62,0,sohaibdevv,2026-09-05
apple,Apple MacBook Air 2020 MGND3HN Laptop (Apple M1/ 8GB/ 256GB SSD/ MacOS),apple,m1,8,8,8,256,apple,apple,855.3012048192771,45,0,sohaibdevv,2026-09-05
infinix,Infinix INBook Y2 Plus Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win 11 Home),intel,core i5,4,8,16,512,intel,integrated,421.56626506024094,56,0,sohaibdevv,2026-09-05
asus,Asus TUF Gaming F15 FX506HF-HN024W Gaming Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11/ 4GB Graph),intel,core i5,6,12,8,512,nvidia,dedicated,602.289156626506,70,0,sohaibdevv,2026-09-05
hp,HP 15s-fq5007TU Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11 Home),intel,core i3,6,8,8,512,intel,integrated,445.66265060240966,60,0,sohaibdevv,2026-09-05
infinix,Infinix Zerobook 2023 Laptop (13th Gen Core i9/ 32GB/ 1TB SSD/ Win 11 Home),intel,core i9,14,20,32,1024,intel,integrated,722.7710843373494,71,0,sohaibdevv,2026-09-05
dell,Dell Inspiron 3520 D560896WIN9B Laptop (12th Gen Core i3/ 8GB/ 512GB SSD/ Win11),intel,core i3,6,8,8,512,intel,integrated,421.56626506024094,60,0,sohaibdevv,2026-09-05
samsung,Samsung Galaxy Book2 Pro 13 Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11),intel,core i5,12,16,16,512,intel,integrated,783.0120481927711,68,0,sohaibdevv,2026-09-05
msi,MSI Thin GF63 12UC-846IN Gaming Laptop (12th Gen Core i5/ 16GB/ 512GB SSD/ Win11 Home/ 4GB Graphics),intel,core i5,8,12,16,512,nvidia,dedicated,638.433734939759,71,0,sohaibdevv,2026-09-05
asus,Asus Vivobook 16X 2022 M1603QA-MB711WS Laptop (Ryzen 7-5800H/ 16GB/ 512GB SSD/ Win11 Home),amd,ryzen 7,8,16,16,512,amd,integrated,691.4457831325301,71,0,sohaibdevv,2026-09-05
lenovo,Lenovo IdeaPad Slim 3 82H803LKIN Laptop (11th Gen Core i5/ 16GB/ 512GB SSD/ Win11),intel,core i5,4,8,16,512,intel,integrated,572.1686746987951,66,0,sohaibdevv,2026-09-05
hp,HP Omen 16-wf1025TX Gaming Laptop (14th Gen Core i7/ 16GB/ 1TB SSD/ Win11 Home/ 8GB Graph),intel,core i7,20,28,16,1024,nvidia,dedicated,1855.301204819277,85,0,sohaibdevv,2026-09-05
lenovo,Lenovo V15 G3 IAP 82TTA08AIN Laptop (12th Gen Core i7/ 16GB/ 512GB SSD/Win11),intel,core i7,10,12,16,512,intel,integrated,602.289156626506,59,0,sohaibdevv,2026-09-05
asus,Asus TUF Gaming F15 FX506HE-HN385WS Gaming Laptop (11th Gen Core i7/ 16GB/ 1TB SSD/ Win11/ 4GB Graph),intel,core i7,8,16,16,1024,nvidia,dedicated,915.5421686746988,76,0,sohaibdevv,2026-09-05
hp,HP Victus 15-fb1017AX Gaming Laptop (AMD Ryzen 5 7535HS/ 16GB/ 512GB SSD/ Win11/ 4GB Graph),amd,ryzen 5,6,12,16,512,nvidia,dedicated,668.5542168674699,71,0,sohaibdevv,2026-09-05
wings,Wings Nuvobook V1 Laptop (11th Gen Core i5/ 8GB/ 512GB SSD/ Win11),intel,core i5,4,8,8,512,intel,integrated,337.2289156626506,56,0,sohaibdevv,2026-09-05
hp,HP 255 G9 840T7PA Laptop (AMD Athlon Silver-3050U/ 4GB/ 256GB SSD/ DOS),amd,other,2,2,4,256,amd,integrated,232.51807228915663,49,0,sohaibdevv,2026-09-05
lenovo,Lenovo V15 G4 82YU00W7IN Laptop (AMD Ryzen 3 7320U/ 8GB/ 512GB SSD/ Win11 Home),amd,ryzen 3,4,8,8,512,amd,integrated,337.2289156626506,59,0,sohaibdevv,2026-09-05
apple,Apple MacBook Pro 16 2023 Laptop (Apple M3 Max/ 48GB/ 1TB SSD/ macOS),apple,m3,16,16,8,1024,apple,apple,4818.0722891566265,65,0,sohaibdevv,2026-09-05
