name,brand,price,review_count,source,crawl_date
MacBook Air,Apple,0.0,0,Kaggle,2026-09-05
Vivobook 16,ASUS,0.0,0,Kaggle,2026-09-05
IdeaPad Slim 3,Lenovo,0.0,0,Kaggle,2026-09-05
Aspire Go 15,Acer,0.0,0,Kaggle,2026-09-05
Victus 15,HP,0.0,0,Kaggle,2026-09-05
Inspiron 14,Dell,0.0,0,Kaggle,2026-09-05
TUF Gaming A16,ASUS,0.0,0,Kaggle,2026-09-05
Yoga 7i,Lenovo,0.0,0,Kaggle,2026-09-05
MacBook Pro 14,Apple,0.0,0,Kaggle,2026-09-05
Nitro V 16,Acer,0.0,0,Kaggle,2026-09-05
Cyborg 15,MSI,0.0,0,Kaggle,2026-09-05
Galaxy Book4,Samsung,0.0,0,Kaggle,2026-09-05
ExpertBook P5,ASUS,0.0,0,Kaggle,2026-09-05
ThinkPad E14,Lenovo,0.0,0,Kaggle,2026-09-05
OmniBook X,HP,0.0,0,Kaggle,2026-09-05
Vostro 3520,Dell,0.0,0,Kaggle,2026-09-05
Swift Go 14,Acer,0.0,0,Kaggle,2026-09-05
Surface Laptop 7,Microsoft,0.0,0,Kaggle,2026-09-05
ROG Zephyrus G14,ASUS,0.0,0,Kaggle,2026-09-05
LOQ 15,Lenovo,0.0,0,Kaggle,2026-09-05
Zenbook S 14,ASUS,0.0,0,Kaggle,2026-09-05
Pavilion 15,HP,0.0,0,Kaggle,2026-09-05
Legion Slim 5,Lenovo,0.0,0,Kaggle,2026-09-05
XPS 13,Dell,0.0,0,Kaggle,2026-09-05
MacBook Pro 16,Apple,0.0,0,Kaggle,2026-09-05
G5,Gigabyte,0.0,0,Kaggle,2026-09-05
Chromebook Spin,Acer,0.0,0,Kaggle,2026-09-05
ProArt P16,ASUS,0.0,0,Kaggle,2026-09-05
ThinkBook 16,Lenovo,0.0,0,Kaggle,2026-09-05
Envy x360,HP,0.0,0,Kaggle,2026-09-05
